800 3 400 8 727
226 449 125
7385 7611 6098 6324
8836 9002 2367 2533
9149 9474 8606 8931
7594 8228 1 635
9120 9416 2414 2710
8639 9343 109 813
2732 3147 3275 3690
2365 2952 7297 7884
4320 4595 6722 6997
6343 6667 6991 7315
1203 1507 1496 1800
1721 2038 711 1028
4945 5265 0 253
2430 2893 4009 4472
7222 7757 83 618
5195 5208 9892 9905
3854 4386 1597 2129
808 1509 1464 2165
8896 9368 5652 6124
7868 8428 1435 1995
4744 5031 4671 4958
1838 2373 8894 9429
3396 3484 6394 6482
7886 8354 5355 5823
0 494 7735 8345
863 1074 4076 4287
149 692 5375 5918
4951 5123 6105 6277
8187 8884 5388 6085
9440 9603 7528 7691
417 655 2217 2455
4211 4482 3618 3889
1909 1970 3989 4050
1134 1455 6000 6321
2672 3183 6414 6925
9871 9884 3355 3368
6197 6282 7179 7264
5177 5799 4371 4993
397 583 1621 1807
6095 6513 5793 6211
9379 9547 6963 7131
7918 8411 6154 6647
5395 5601 5382 5588
4801 4974 1052 1225
2978 3072 2580 2674
7684 8190 7536 8042
700 735 6943 6978
5401 5576 5435 5610
5662 6286 3200 3824
7183 7300 1990 2107
6707 7296 322 911
4694 5231 4120 4657
4161 4792 1336 1967
1250 1573 2936 3259
6723 7386 9520 10000
4897 5068 857 1028
7512 7679 2985 3152
4373 4788 664 1079
6520 6789 9437 9706
3692 3879 8799 8986
2392 2546 3395 3549
3744 4049 4567 4872
8306 8838 6539 7071
1934 2219 8599 8884
1358 1817 2423 2882
4531 4599 1228 1296
2738 2868 1234 1364
3255 3641 5950 6336
9666 10000 6336 6726
6048 6372 3188 3512
1520 1910 9274 9664
9386 9520 6441 6575
4445 5156 0 704
1426 1681 7369 7624
2994 3380 5480 5866
2444 2906 3040 3502
1348 1675 1708 2035
6349 6532 8259 8442
8830 9099 7736 8005
9281 9917 4270 4906
7069 7246 3118 3295
4949 5197 5372 5620
3536 3822 3268 3554
4309 4438 4194 4323
7018 7042 6732 6756
8806 9306 8272 8772
7277 7616 8888 9227
3485 3833 4767 5115
2360 2449 298 387
7668 8124 1226 1682
4883 5393 1638 2148
9 683 7722 8396
2699 3120 854 1275
4912 5291 7349 7728
4409 4419 640 650
8678 9159 71 552
3879 4224 7553 7898
9687 9701 9630 9644
8314 8927 7901 8514
6777 7256 9089 9568
8970 9601 1636 2267
4294 4349 8375 8430
6810 7522 0 697
8618 8750 9231 9363
1499 1513 5786 5800
5905 5916 6188 6199
3740 3948 6135 6343
1761 2291 143 673
4286 4884 2881 3479
3540 3969 8549 8978
2930 3478 4522 5070
8681 9102 2077 2498
778 829 6074 6125
7823 8270 905 1352
457 568 2183 2294
7875 7916 75 116
4540 4769 3822 4051
552 1056 3756 4260
8580 8907 8418 8745
3481 3490 6292 6301
855 987 8170 8302
9276 9909 7188 7821
5182 5661 5361 5840
9044 9610 5422 5988
2837 3436 4274 4873
7816 8518 3730 4432
484 618 4786 4920
5083 5498 1569 1984
5769 5976 1283 1490
5020 5044 4099 4123
7814 8471 6758 7415
8861 9434 1147 1720
7052 7494 5799 6241
9066 9411 513 858
7465 7702 6349 6586
2990 3634 5483 6127
7494 7885 2230 2621
8143 8731 1964 2552
3757 3832 1029 1104
7239 7613 4695 5069
900 1071 83 254
1162 1494 5537 5869
7559 7605 5571 5617
3055 3357 3826 4128
3712 3803 1937 2028
9629 9904 6268 6543
2124 2606 9479 9961
0 399 2236 2933
8747 9433 514 1200
1670 1672 2647 2649
2967 3285 3432 3750
8390 8867 7558 8035
7206 7589 9836 10000
0 400 2345 2937
4805 5298 5403 5896
4198 4651 5934 6387
2308 2336 4300 4328
40 456 938 1354
8555 8896 4549 4890
8362 8811 534 983
5597 6133 0 292
6455 6610 364 519
7626 7833 7239 7446
3489 4067 9306 9884
5622 5953 3827 4158
6385 6516 5647 5778
1199 1706 372 879
6592 6756 5789 5953
2600 2978 7945 8323
5132 5843 1085 1796
2637 3197 0 293
7190 7284 4873 4967
608 1334 7563 8289
5390 5518 817 945
9380 9980 3834 4434
1531 1562 6053 6084
3372 3454 3977 4059
1558 2092 106 640
4968 5453 2236 2721
7340 7642 8754 9056
1248 1462 2804 3018
642 692 8685 8735
3770 4447 2576 3253
8497 8600 3359 3462
3339 3955 1651 2267
2200 2577 1667 2044
3146 3470 6084 6408
6302 6651 5025 5374
663 971 9089 9397
7621 8126 0 356
1585 2264 8122 8801
2414 2431 7936 7953
9703 10000 3215 3576
795 1339 2170 2714
8113 8596 5933 6416
4057 4414 8691 9048
8264 8360 2507 2603
6877 7271 9217 9611
2934 3186 6834 7086
486 529 2203 2246
1252 1276 7593 7617
4622 4824 1449 1651
8586 8829 5269 5512
2497 2569 6213 6285
2718 3405 1086 1773
981 1632 892 1543
3596 3792 188 384
5092 5605 4358 4871
1151 1389 928 1166
3110 3588 4586 5064
8551 9001 3028 3478
4172 4182 1597 1607
1112 1402 2992 3282
3897 4200 7207 7510
4741 4780 9561 9600
558 1179 4001 4622
7487 8214 7995 8722
7782 8391 6929 7538
2565 2814 0 202
4863 5105 4354 4596
9264 9265 2519 2520
0 362 444 976
224 580 8900 9256
5160 5472 1908 2220
1466 1599 5124 5257
3924 4519 4674 5269
9484 9987 1460 1963
1641 2012 996 1367
311 881 1102 1672
7712 8060 1383 1731
7431 7461 3911 3941
8066 8304 3830 4068
3416 3482 7944 8010
8728 9060 1447 1779
